session_date,side,entry_time,exit_time,entry_price,exit_price,stop,target,exit_reason,pnl_pts,risk_pts,r_multiple
2026-04-01,PE,2026-04-01T11:05:00+05:30,2026-04-01T11:40:00+05:30,22770.55,22817.393241542402,22817.393241542402,22686.232165223675,STOP_HIT,-46.84,46.84,-1.0
2026-04-16,PE,2026-04-16T09:35:00+05:30,2026-04-16T11:40:00+05:30,24326.8,24256.663669769252,24365.76462790597,24256.663669769252,TARGET_HIT,70.14,38.96,1.8
2026-04-22,PE,2026-04-22T09:40:00+05:30,2026-04-22T10:00:00+05:30,24424.4,24358.497245447492,24461.012641418063,24358.497245447492,TARGET_HIT,65.9,36.61,1.8
2026-04-29,CE,2026-04-29T09:40:00+05:30,2026-04-29T10:05:00+05:30,24141.35,24214.75477846319,24100.569567520448,24214.75477846319,TARGET_HIT,73.4,40.78,1.8
2026-05-06,PE,2026-05-06T09:35:00+05:30,2026-05-06T11:00:00+05:30,24154.0,24077.642163869514,24196.421020072492,24077.642163869514,TARGET_HIT,76.36,42.42,1.8
2026-05-06,CE,2026-05-06T14:25:00+05:30,2026-05-06T15:10:00+05:30,24311.65,24321.35,24274.552650297464,24378.425229464567,EOD_SQUARE_OFF,9.7,37.1,0.26
2026-05-08,PE,2026-05-08T13:55:00+05:30,2026-05-08T14:05:00+05:30,24137.2,24162.348883818937,24162.348883818937,24091.932009125914,STOP_HIT,-25.15,25.15,-1.0
2026-05-11,PE,2026-05-11T09:35:00+05:30,2026-05-11T11:20:00+05:30,23881.8,23932.37647587832,23932.37647587832,23790.762343419017,STOP_HIT,-50.58,50.58,-1.0
2026-05-11,CE,2026-05-11T13:50:00+05:30,2026-05-11T13:55:00+05:30,23993.95,23967.21946621416,23967.21946621416,24042.064960814514,STOP_HIT,-26.73,26.73,-1.0
2026-05-12,PE,2026-05-12T09:25:00+05:30,2026-05-12T12:05:00+05:30,23638.3,23563.332982152766,23679.948343248463,23563.332982152766,TARGET_HIT,74.97,41.65,1.8
2026-05-14,PE,2026-05-14T09:40:00+05:30,2026-05-14T11:20:00+05:30,23496.8,23539.473666598038,23539.473666598038,23419.98740012353,STOP_HIT,-42.67,42.67,-1.0
2026-05-14,CE,2026-05-14T11:30:00+05:30,2026-05-14T11:50:00+05:30,23604.65,23686.084651836565,23559.408526757466,23686.084651836565,TARGET_HIT,81.43,45.24,1.8
2026-05-19,CE,2026-05-19T10:40:00+05:30,2026-05-19T10:50:00+05:30,23764.75,23725.17784504703,23725.17784504703,23835.979878915346,STOP_HIT,-39.57,39.57,-1.0
2026-05-19,PE,2026-05-19T14:40:00+05:30,2026-05-19T15:10:00+05:30,23657.2,23624.4,23685.8710001011,23605.592199818024,EOD_SQUARE_OFF,32.8,28.67,1.14
2026-05-20,CE,2026-05-20T09:25:00+05:30,2026-05-20T10:30:00+05:30,23476.95,23552.94281191327,23434.731771159295,23552.94281191327,TARGET_HIT,75.99,42.22,1.8
2026-05-22,CE,2026-05-22T09:30:00+05:30,2026-05-22T11:45:00+05:30,23762.75,23827.829859708036,23726.594522384425,23827.829859708036,TARGET_HIT,65.08,36.16,1.8
2026-05-25,CE,2026-05-25T10:40:00+05:30,2026-05-25T11:30:00+05:30,23987.4,23960.671000160095,23960.671000160095,24035.512199711833,STOP_HIT,-26.73,26.73,-1.0
2026-05-26,CE,2026-05-26T09:25:00+05:30,2026-05-26T10:30:00+05:30,24034.1,24077.29020050905,24010.105444161636,24077.29020050905,TARGET_HIT,43.19,23.99,1.8
2026-05-26,PE,2026-05-26T13:40:00+05:30,2026-05-26T14:00:00+05:30,23958.5,23917.845938780632,23981.085589566315,23917.845938780632,TARGET_HIT,40.65,22.59,1.8
2026-05-27,CE,2026-05-27T10:15:00+05:30,2026-05-27T10:45:00+05:30,23951.95,23920.021267278884,23920.021267278884,24009.42171889801,STOP_HIT,-31.93,31.93,-1.0
2026-06-02,CE,2026-06-02T09:35:00+05:30,2026-06-02T10:25:00+05:30,23295.7,23364.84133707286,23257.288146070634,23364.84133707286,TARGET_HIT,69.14,38.41,1.8
2026-06-05,PE,2026-06-05T10:30:00+05:30,2026-06-05T10:40:00+05:30,23431.1,23357.391929545356,23472.048928030355,23357.391929545356,TARGET_HIT,73.71,40.95,1.8
2026-06-08,CE,2026-06-08T09:25:00+05:30,2026-06-08T12:50:00+05:30,23155.5,23251.675714393896,23102.069047558947,23251.675714393896,TARGET_HIT,96.18,53.43,1.8
2026-06-09,PE,2026-06-09T09:45:00+05:30,2026-06-09T11:20:00+05:30,23184.9,23118.536962592996,23221.768354115004,23118.536962592996,TARGET_HIT,66.36,36.87,1.8
2026-06-09,CE,2026-06-09T14:50:00+05:30,2026-06-09T15:00:00+05:30,23267.25,23242.797765088013,23242.797765088013,23311.264022841577,STOP_HIT,-24.45,24.45,-1.0
